Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,cleaned_positive,cleaned_negative,sentiment,polarity_positive,polarity_negative,visit_month,visit_year
"Exceptional


Exceptional","convenient location, with a late arrival and planning further travel by car. Walking distance to Mackenzie Beach and Salt Lake. Purely. no problem with check-in after 12 at night. Parking next to the hotel.",,10.0,Michael,Ukraine,Family Suite with Balcony,1 night,2022-01-01,Family,,conveni locat late arriv plan travel car walk distanc mackenzi beach salt lake pure problem checkin night park next hotel,,positive,-0.02857142857142857,0.0,1,2022
"Exceptional


Exceptional","large comfortable bed, clean linen, cozy.
close to the airport (7-10 minutes by taxi)",,10.0,Maria,Russia,Double Room,1 night,2021-11-01,Solo traveler,,larg comfort bed clean linen cozi close airport minut taxi,,positive,0.3666666666666667,0.0,11,2021
"Exceptional


Exceptional","Cleanliness 10/10!
everything is white, bright, cozy!
We spent one night before the plane, were very satisfied.
the accommodation is perfect - close to the airport.",nothing to complain about),10.0,Дарья,Russia,Double Room,1 night,2021-10-01,Couple,,cleanli everyth white bright cozi spent one night plane satisfi accommod perfect close airport,noth complain,positive,0.4,0.0,10,2021
"Very Good


Very Good","Very nice staff, comfortable beds, great shower. We stayed for one night before flying out of Cyprus, the option is excellent, close to the airport, near the lake with flamingos (in winter)",They are drawing a number :),8.0,Elena,Ukraine,Standard Triple Room,1 night,2021-12-01,Family,,nice staff comfort bed great shower stay one night fli cypru option excel close airport near lake flamingo winter,draw number,positive,0.5,0.0,12,2021
"Will I consider this hotel again? No question, if it is at least at the same level.


Will I consider this hotel again? No question, if it is at least at the same level.","I liked the hotel already when approaching it from the street. The feeling of the new did not leave all the time. Starting from the street terrace, the hall and up to the room itself - clean, comfortable, with a soft bed. As it turned out later, the hotel is already about 8 years old, but they are doing well 👍
Always friendly staff (it looks like a family business, but I will not say). Every day cleaning. At any time, you can go down to the veranda at the tables and just drink their wonderful cappuccino on soft sofas, and then sleep the rest of the night on soft beds.
We did not use the pool, the sea is better, because there is a good Mackenzie beach. And he did not have to swim.","Of the minuses: sometimes a car came to pick up garbage cans at night. More precisely, the car poured them into its depths, not worrying about the noise and sleeping expensive tourists. Also mirrors in the room. There are plenty of them and they all distorted the image. rather made you fatter))
Everything else is a plus!",9.0,Alena,Russia,Double Room with Balcony,7 nights,2021-09-01,Couple,,like hotel alreadi approach street feel new leav time start street terrac hall room clean comfort soft bed turn later hotel alreadi year old well alway friendli staff look like famili busi say everi day clean time go veranda tabl drink wonder cappuccino soft sofa sleep rest night soft bed use pool sea better good mackenzi beach swim,minu sometim car came pick garbag can night precis car pour depth worri nois sleep expens tourist also mirror room plenti distort imag rather made fatter everyth els plu,positive,0.24696969696969698,0.0,9,2021
"A very good choice for a visit to Larnaca.


A very good choice for a visit to Larnaca.","Very warm and caring welcome. The room was very well equipped, clean, comfortable... I was very happy.","The hotel is not far from the airport, but a bit far from city center.",9.0,Mme,France,Double Room,1 night,2021-11-01,Solo traveler,,warm care welcom room well equip clean comfort happi,hotel far airport bit far citi center,positive,0.48333333333333334,0.03333333333333333,11,2021
"Alright


Alright","nice staff, lobby and room very clean.",,10.0,Lucile,Norway,Double Room,1 night,2021-12-01,Couple,,nice staff lobbi room clean,,positive,0.48333333333333334,0.0,12,2021
"Wonderful


Wonderful","Cleanliness
Spacious",,9.0,Alexandros,Greece,Double Room,1 night,2021-11-01,Couple,,cleanli spaciou,,positive,0.0,0.0,11,2021
"Exceptional


Exceptional",Super nice staff. Great location and pet friendly! We were able to bring our small dog and the hotel was still very clean!!,,10.0,Sarah,Germany,Double Room with Balcony,3 nights,2021-11-01,Family,,super nice staff great locat pet friendli abl bring small dog hotel still clean,,positive,0.37,0.0,11,2021
"Very Good


Very Good","It was the cleanest room I've ever been, cleanliness is top notch, cleaned every day, down to the taps, towels and white bedding, any problems are solved instantly. The staff is excellent, everyone is definitely polite and smiling","very noisy, the area is ringing, the sounds accumulate with terrible force. At night, I constantly woke up either from the sounds of airplanes, or from passing cars or a slamming trunk, earplugs did not save (",8.0,Natalia,Russia,Double Room with Balcony,4 nights,2021-11-01,Solo traveler,,cleanest room ive ever cleanli top notch clean everi day tap towel white bed problem solv instantli staff excel everyon definit polit smile,noisi area ring sound accumul terribl forc night constantli woke either sound airplan pass car slam trunk earplug save,positive,0.2916666666666667,0.4,11,2021
"Exceptional


Exceptional","clean rooms, very nice staff, comfortable bed",,10.0,Marta,Norway,Double Room,1 night,2021-11-01,Couple,,clean room nice staff comfort bed,,positive,0.48333333333333334,0.0,11,2021
"More than ok for one night.


More than ok for one night.","Proximity to the airport, small but modern rooms, good bed, very good bathroom.",Those who sleep lightly will be disturbed by the aircraft noise. Those who are tired sleep over it.,8.0,Wulfman,Germany,Double Room,1 night,2021-11-01,Couple,,proxim airport small modern room good bed good bathroom,sleep lightli disturb aircraft nois tire sleep,positive,0.33749999999999997,0.0,11,2021
"Nice accommodation close to the beach


Nice accommodation close to the beach","Nice accommodation, parking in the hotel area, a beautiful beach within walking distance, very helpful staff, due to the delay of the plane they waited for us until 2 in the morning.","Beautiful accommodation, unfortunately at night it was fertilized in Larnaca and the whole city stank. Perhaps it was only short-lived.",9.0,David,Czech Republic,Standard Triple Room,1 night,2021-10-01,Group,,nice accommod park hotel area beauti beach within walk distanc help staff due delay plane wait u morn,beauti accommod unfortun night fertil larnaca whole citi stank perhap shortliv,positive,0.2375,0.2,10,2021
"Very Good


Very Good","1. Location
Hotel near the airport, fast transfer organized by the hotel. In total, close to the beach, although to get to the beach relatively quickly you have to go to the so-called. ""shortcuts"" along a well-trodden path through a field and a small escarpment or another way a little ""around"" along the streets. The center is quite far, about 2.5 km, a walk along the beach promenade.
2. Peace
Great, modern design, comfortable bed, clean, large with a balcony. Large bathroom with shower. Equipped with a kettle plus a welcome pack (tea, coffee, water)
3. Breakfast
Served on site, on the ground floor in the dining room with access to the front terrace, delicious, homemade Greek taste.",Pool infrastructure.,8.0,Maksymilian,Poland,Standard Triple Room,2 nights,2021-10-01,Family,,locat hotel near airport fast transfer organ hotel total close beach although get beach rel quickli go socal shortcut along welltrodden path field small escarp anoth way littl around along street center quit far km walk along beach promenad peac great modern design comfort bed clean larg balconi larg bathroom shower equip kettl plu welcom pack tea coffe water breakfast serv site ground floor dine room access front terrac delici homemad greek tast,pool infrastructur,positive,0.14166666666666666,0.0,10,2021
"Nice hotel in Larnaca!


Nice hotel in Larnaca!","Even though we arrived at 3 a.m., they waited for us. Very friendly, very clean! close to the airport!",,10.0,Ulrike,Austria,Double Room with Balcony,1 night,2021-11-01,Family,,even though arriv wait u friendli clean close airport,,positive,0.3666666666666667,0.0,11,2021
"Good, but not exceptional!


Good, but not exceptional!","Location close to the airport, therefore during the day a lot of noise from planes taking off. Not heard at night.
Breakfast was good, but not lavish. Had to ask for bread.","Beds are soft and with a lot of plastic therefore very sweaty.
In the middle of the night the garbage containers were emptied with a lot of noise.",8.0,J,Netherlands,Double Room with Balcony,1 night,2021-11-01,Couple,,locat close airport therefor day lot nois plane take heard night breakfast good lavish ask bread,bed soft lot plastic therefor sweati middl night garbag contain empti lot nois,positive,0.7,0.1,11,2021
"Great price for very good airport location


Great price for very good airport location","Great location as I arrived very late and just wanted to sleep.
You are there now.
Quiet location, very friendly and helpful staff/owners.","bed a bit uncomfortable.
Unfortunately, the organized taxi came too late/ a bit chaotic.
Even if the hotel cannot do anything about it.",9.0,Johannes,Germany,Double Room with Balcony,1 night,2021-10-01,Solo traveler,,great locat arriv late want sleep quiet locat friendli help staffown,bed bit uncomfort unfortun organ taxi came late bit chaotic even hotel cannot anyth,positive,0.16666666666666666,-0.3,10,2021
"Exceptional


Exceptional","Very clean new room, perfect bed and towels, close location to the bus stop, 10 minutes to the center and 5 minutes to the airport. Friendly staff, all wishes and problematic situations are solved immediately. An ideal place if you need to spend the night before departure from Larnaca.","Mackenzie Beach is very noisy, windy, did not like it, not for a long vacation.",10.0,Yuliia,Ukraine,Double Room,1 night,2021-10-01,Family,,clean new room perfect bed towel close locat bu stop minut center minut airport friendli staff wish problemat situat solv immedi ideal place need spend night departur larnaca,mackenzi beach noisi windi like long vacat,positive,0.4606060606060606,-0.05,10,2021
"Very Good


Very Good",very clean Plenty of parking. Nice and kind staff.,,8.0,Inbar,Israel,Two-Bedroom Suite,1 night,2021-09-01,Family,,clean plenti park nice kind staff,,positive,0.5222222222222223,0.0,9,2021
"Top class hotel close to the airport


Top class hotel close to the airport","Very nice room. There was a kettle and a microwave, a spacious bath, a view of the beautiful houses. We were seated in the middle of the night. Delicious breakfast for a fee. On request, there is a transfer from the airport and to the airport",-,10.0,Olha,Ukraine,Double Room,1 night,2021-10-01,Couple,,nice room kettl microwav spaciou bath view beauti hous seat middl night delici breakfast fee request transfer airport airport,,positive,0.6,0.0,10,2021
"Excellent hotel close to Larnaka airport


Excellent hotel close to Larnaka airport","The ""street side"" rooms are noisier than those facing the back.","The exceptional welcome in French
Proximity to the airport
A nearby bus stop provides access to the city center and the airport
The cleanliness and design of the room",10.0,Mary-phil,France,Double Room with Balcony,1 night,2021-10-01,Couple,,street side room noisier face back,except welcom french proxim airport nearbi bu stop provid access citi center airport cleanli design room,positive,0.0,-0.05,10,2021
"Newly Renovated Hotel. Perfect for a short overnight stay before flying back from Larnaca.


Newly Renovated Hotel. Perfect for a short overnight stay before flying back from Larnaca.",Pleasantly surprised as the hotel appears to have been renovated.,Unfortunately the pool was closed.,10.0,Christian,Germany,Double Room with Balcony,1 night,2021-10-01,Solo traveler,,pleasantli surpris hotel appear renov,unfortun pool close,positive,0.0,0.0,10,2021
"Very Good


Very Good","New hotel, with super clean rooms and comfortable beds. Family business and the owners are very friendly!",,8.0,Alexander,Germany,Family Suite with Balcony,2 nights,2021-10-01,Group,,new hotel super clean room comfort bed famili busi owner friendli,,positive,0.2787878787878788,0.0,10,2021
"SUPER HOTEL


SUPER HOTEL","Nice homely atmosphere, delicious food, the owner takes care of the guests to make them feel at home. The place is RECOMMENDED.",,10.0,Michał,Poland,Double Room with Balcony,3 nights,2021-10-01,Couple,,nice home atmospher delici food owner take care guest make feel home place recommend,,positive,0.6,0.0,10,2021
"Price and quality fire


Price and quality fire","Cozy hotel in a quiet location. Walking distance to the beach, we went with a child. Walking around is also interesting.
The room is very clean, comfortable mattresses, excellent clean bedding.
There is only soap in the shower, no shower gel. Keep in mind. But we usually go with ours.
Very polite and pleasant staff.
We took breakfast once. I liked it.",,10.0,Anna,Russia,Double Room with Balcony,2 nights,2021-10-01,Family,,cozi hotel quiet locat walk distanc beach went child walk around also interest room clean comfort mattress excel clean bed soap shower shower gel keep mind usual go polit pleasant staff took breakfast like,,positive,0.24333333333333335,0.0,10,2021
"Wonderful


Wonderful","Very well-kept hotel, friendly service, very comfortable mattresses, fridge, kettle, very modern new equipment.",Everything OK,9.0,..NB..,Germany,Double Room,1 night,2021-10-01,Solo traveler,,wellkept hotel friendli servic comfort mattress fridg kettl modern new equip,everyth ok,positive,0.16818181818181818,0.5,10,2021
"I recommend, price-quality at height)


I recommend, price-quality at height)","Staff SUPER!!! Responsive, kind people, you feel at home). The room has a refrigerator, kettle, mugs (small), safe (did not use), TV (2 channels in the local language, netflix and browser). Near the salt lake, about 10 minutes walk, 5-6 minutes to the sea. Quiet place. Near the airport about 4 km, by bus or car for 5-6 minutes, you can walk and walk for 50 minutes)))","The shower has no door or curtain. While taking a shower, drops fall on the floor. Wi-fi is enough for a phone, not enough for a laptop. There are few shops nearby.",10.0,Deniskri,Russia,Double Room with Balcony,3 nights,2021-10-01,Family,,staff super respons kind peopl feel home room refriger kettl mug small safe use tv channel local languag netflix browser near salt lake minut walk minut sea quiet place near airport km bu car minut walk walk minut,shower door curtain take shower drop fall floor wifi enough phone enough laptop shop nearbi,positive,0.1729166666666667,0.0,10,2021
"I would book again


I would book again","No breakfast booked.
Location very good for airport and beach.",,8.0,Katharina,Germany,Double Room with Balcony,1 night,2021-10-01,Solo traveler,,breakfast book locat good airport beach,,positive,0.7,0.0,10,2021
"Wonderful


Wonderful",Good hotel next to Mackenzie beach and especially the airport. It is 5 minutes by car,All right,9.0,Miguel,Spain,Double Room with Balcony,1 night,2021-10-01,Couple,,good hotel next mackenzi beach especi airport minut car,right,positive,0.35,0.2857142857142857,10,2021
"Very Good


Very Good","Superb room, bathroom and balcony, very comfortable, the staff was top notch!",Lots of noise from the hallway,8.0,Manon,France,Double Room with Balcony,1 night,2021-10-01,Couple,,superb room bathroom balconi comfort staff top notch,lot nois hallway,positive,0.75,0.0,10,2021
"Very Good


Very Good",Stayed for one night due to an early flight. The airport is 6 minutes by car. Liked the food at the cafe in the lobby. Near a good beach.,,8.0,Семён,Russia,Double Room with Balcony,1 night,2021-10-01,Family,,stay one night due earli flight airport minut car like food cafe lobbi near good beach,,positive,0.22499999999999998,0.0,10,2021
"Very Good


Very Good","Very cozy and stylish hotel, good staff, excellent location, bus stops nearby, salt lake, 5 minutes walk to the sea.","In addition to liquid soap, no other means. Bring along shampoos, soaps, gels, etc.",8.0,Tatiana,Russia,Double Room with Balcony,4 nights,2021-10-01,Solo traveler,,cozi stylish hotel good staff excel locat bu stop nearbi salt lake minut walk sea,addit liquid soap mean bring along shampoo soap gel etc,positive,0.6,-0.3125,10,2021
"Wonderful


Wonderful",Very clean,,9.0,Christina,Germany,Standard Triple Room,1 night,2021-10-01,Family,,clean,,positive,0.3666666666666667,0.0,10,2021
"Again and again


Again and again",Clean and modern hotel with very friendly staff.,,8.0,Fabian,Germany,Standard Triple Room,1 night,2021-09-01,Group,,clean modern hotel friendli staff,,positive,0.2833333333333333,0.0,9,2021
"Good address good value for money near the airport


Good address good value for money near the airport","The terrace, the sympathy of the restaurant manager",The noise of the discotheque…,9.0,Fabienne,France,Double Room with Balcony,1 night,2021-10-01,Couple,,terrac sympathi restaur manag,nois discotheque…,positive,0.0,0.0,10,2021
"Excellent hotel close to the airport


Excellent hotel close to the airport","Excellent location, perfect cleanliness, excellent breakfasts for only 8€, super service",-,10.0,Ilia,Russia,Double Room with Balcony,4 nights,2021-09-01,Couple,,excel locat perfect cleanli excel breakfast € super servic,,positive,0.6666666666666666,0.0,9,2021
"Exceptional


Exceptional","The situation, extremely close to the airport for a very early departure or a late arrival, and extremely close to the beach and its entertainment (restaurants, bars...). Very quiet though. Very clean, very comfortable, brand new! Very friendly and pleasant welcome.",,10.0,Claire,France,Double Room with Balcony,1 night,2021-09-01,Couple,,situat extrem close airport earli departur late arriv extrem close beach entertain restaur bar quiet though clean comfort brand new friendli pleasant welcom,,positive,0.1872727272727273,0.0,9,2021
"Wonderful


Wonderful","Was in the middle of September. I really liked the hotel. Reminds me of a family hostel. Excellent service staff. The owner and staff are always ready to help. Helped immediately with adapters. From the hotel to the beach is relatively close. 5-7 minutes at a calm pace. There is a bus stop nearby, which is also very important. Of the shortcomings, I would note the monotonous breakfast. Every day is the same.",breakfasts. This is probably the weakest link in the hotel.,9.0,Evgeny,Israel,Family Suite with Balcony,7 nights,2021-09-01,Couple,,middl septemb realli like hotel remind famili hostel excel servic staff owner staff alway readi help help immedi adapt hotel beach rel close minut calm pace bu stop nearbi also import shortcom would note monoton breakfast everi day,breakfast probabl weakest link hotel,positive,0.30000000000000004,0.0,9,2021
"Well-maintained hotel, great location.


Well-maintained hotel, great location.","Very nice owner, great hotel, close to the beach!!",,10.0,Sylwia,Poland,Double Room with Balcony,7 nights,2021-09-01,Couple,,nice owner great hotel close beach,,positive,0.7,0.0,9,2021
"Exceptional


Exceptional","The room was spotless and the sheets were musky! While we had booked a double room, they gave us a 4-bed room with two rooms, which made us very happy. While we arrived after midnight there was a person at the reception to check in. The staff is very kind and helpful! We would definitely go again!!",,10.0,Δημητρα,Greece,Double Room with Balcony,1 night,2021-09-01,Couple,,room spotless sheet muski book doubl room gave u bed room two room made u happi arriv midnight person recept check staff kind help would definit go,,positive,0.6,0.0,9,2021
"Good for a couple of days.


Good for a couple of days.",Very convenient location. Not far from the airport and from the sea.,Very thin walls. Everything is heard. At 3 o'clock in the morning we woke up from the fact that the garbage truck loaded the tanks.,8.0,Kirill,Russia,Double Room,1 night,2021-09-01,Couple,,conveni locat far airport sea,thin wall everyth heard oclock morn woke fact garbag truck load tank,positive,0.1,-0.4,9,2021
"Exceptional


Exceptional","Location near the airport, near Mackenzie beach - super convenient. Delicious breakfasts, attentive staff, five minutes to the beach. Homer comfortable, clean, cleaned every day. The owners of the hotel helped with all questions. If you stop here",,10.0,Yuliia,Ukraine,Standard Triple Room,2 nights,2021-09-01,Group,,locat near airport near mackenzi beach super conveni delici breakfast attent staff five minut beach homer comfort clean clean everi day owner hotel help question stop,,positive,0.2533333333333333,0.0,9,2021
"Exceptional


Exceptional","Very helpful staff. If you do not have adapters for sockets, ask at the reception.. 😊",Quilts too warm for summer..,10.0,Anna,Israel,Family Suite with Balcony,1 night,2021-08-01,Family,,help staff adapt socket ask recept,quilt warm summer,positive,0.0,0.6,8,2021
"Alright


Alright","Hotel rather well placed, access to the beach by crossing a vacant lot. Airport nearby (but the taxi price is the same as from the center of Larnaca). Pleasant surprise, it is not in the photo but the accommodation has a swimming pool! Fridge filled with drinks and delicacies, even if it's paying it's nice to have some available",Too bad the swimming pool is not indicated on the booking site and at the reception of the hotel!,9.0,Lucille,France,Double Room with Balcony,1 night,2021-09-01,Solo traveler,,hotel rather well place access beach cross vacant lot airport nearbi taxi price center larnaca pleasant surpris photo accommod swim pool fridg fill drink delicaci even pay nice avail,bad swim pool indic book site recept hotel,positive,0.30833333333333335,-0.6999999999999998,9,2021
"Good


Good",Close to the airport. Quietly we reached 3 stops on the 425 bus (2nd floor-entrance for those departing. From the airport immediately to the left to the end of the airport building). The hosts are very friendly.,"Tomorrow is quite meager - 8 euros. The room is very very small (3 beds at 18 meters), but at the same time, clean and tidy. The area near the hotel is a wasteland / wasteland. There is nothing. Most importantly, do not go to nearby cafes/restaurants. Never had such a terrible dinner before.",7.9,Андрей,Russia,Standard Triple Room,1 night,2021-08-01,Couple,,close airport quietli reach stop bu nd floorentr depart airport immedi left end airport build host friendli,tomorrow quit meager euro room small bed meter time clean tidi area near hotel wasteland wasteland noth importantli go nearbi cafesrestaur never terribl dinner,positive,0.0,-0.09583333333333333,8,2021
"THANKS !


THANKS !","Very available and caring for his customers. The rooms are very well equipped and the breakfast very good and plentiful. We arrived at 2:30 am at the airport, a shuttle taxi to the hotel was waiting for us. The hotel allowed us, at no extra cost, a late arrival and a late departure (at 1:30 p.m.).",,9.0,Quentin,France,Double Room,1 night,2021-09-01,Couple,"thank you, we are delighted your experience was satisfactory; we hope to see you again another time.",avail care custom room well equip breakfast good plenti arriv airport shuttl taxi hotel wait u hotel allow u extra cost late arriv late departur pm,,positive,0.024999999999999994,0.0,9,2021
"Exceptional


Exceptional","Staff very welcoming, kind and very friendly. Everything is clean and perfect. No complaints. I strongly advise.",,10.0,Capelle,France,Double Room,1 night,2021-09-01,Couple,we thank you for your comments and for your advice as well as for the score. We are delighted that your stay was perfect. we hope to see you again another time.,staff welcom kind friendli everyth clean perfect complaint strongli advis,,positive,0.4166666666666667,0.0,9,2021
"Exceptional


Exceptional","Individual approach. Responsive staff. Very clean, fresh, comfortable. you can see it's new. Cleaning every day",I can't even remember.,10.0,Polina,Russia,Double Room with Balcony,9 nights,2021-07-01,Couple,,individu approach respons staff clean fresh comfort see new clean everi day,cant even rememb,positive,0.2924242424242425,0.0,7,2021
"Unbeatable value for money. I recommend or come back.


Unbeatable value for money. I recommend or come back.","The hotel is 10 minutes from the airport which is very convenient for not missing your flight.
The welcome was very warm and efficient.
I unfortunately did not try the breakfast or other meal but the hotel is well located for the restaurants in the area.",The electric kettle didn't seem to work. (But that's a detail!).,8.0,Catherine,France,Double Room with Balcony,1 night,2021-08-01,Solo traveler,,hotel minut airport conveni miss flight welcom warm effici unfortun tri breakfast meal hotel well locat restaur area,electr kettl didnt seem work that detail,positive,0.6,0.0,8,2021
"Exceptional


Exceptional","Clean comfortable hotel, delicious breakfast. To the beach on foot 5 minutes. Only pleasant impressions remain",,10.0,Olena,Ukraine,Standard Triple Room,4 nights,2021-08-01,Group,,clean comfort hotel delici breakfast beach foot minut pleasant impress remain,,positive,0.55,0.0,8,2021
"Very Good


Very Good","Great bed, excellent cleaning, great for the airport (it's attached)","Small room, only one nescafe bag, no curtain in the bathroom. Better remove the photo of the pool, since it's a hole...",8.0,Alessandro,Italy,Double Room with Balcony,1 night,2021-08-01,Group,"Thank you for your comments; we have different sizes of rooms, depending on the availability and the date of reservation. 
There is no photos of the swimming pool at the hotel, we don't promote it on booking. com site, as it is for private use,  But of course our guests are always welcomed if they would like to make use of it.",great bed excel clean great airport attach,small room one nescaf bag curtain bathroom better remov photo pool sinc hole,positive,0.6555555555555556,0.125,8,2021
"Incredible staff


Incredible staff","The most important thing about the hotel is the incredible staff. Very soulful atmosphere.
Definitely recommend trying the food in the restaurant. We took pasta, pizza, salads and burgers and everything was piping hot and very tasty and homemade.
The general manager, he is behind the counter in the restaurant, made our holiday)
The rooms are clean, air-conditioned, balcony, mini-bar.
Definitely recommend",,10.0,Marina,Russia,Double Room with Balcony,1 night,2021-08-01,Family,,import thing hotel incred staff soul atmospher definit recommend tri food restaur took pasta pizza salad burger everyth pipe hot tasti homemad gener manag behind counter restaur made holiday room clean aircondit balconi minibar definit recommend,,positive,0.07222222222222223,0.0,8,2021
"good hotel for those who want to sunbathe on Mackenzie Beach. Far from the center.
good hotel for those who want to sunbathe on Mackenzue Beach. Far from the center.","Nice staff, good cook",room a bit small. son of 16 had to sleep on the starter,8.0,Magdalena,Poland,Standard Triple Room,3 nights,2021-08-01,Family,,nice staff good cook,room bit small son sleep starter,positive,0.6499999999999999,-0.25,8,2021
"Excellent, I will definitely go back.


Excellent, I will definitely go back.","Hotel completely redone, the rooms are clean and comfortable. Like the 2 managers of the hotel and the chef, the staff is extremely kind and helpful. If I were to go back to Cyprus, I wouldn't go anywhere else.
Full breakfast and served without time limit, to good understanding :)",RAS,10.0,Zohra,France,Double Room with Balcony,7 nights,2021-08-01,Family,,hotel complet redon room clean comfort like manag hotel chef staff extrem kind help go back cypru wouldnt go anywher els full breakfast serv without time limit good understand,ra,positive,0.4033333333333333,0.0,8,2021
"Excellent, I will definitely go back.


Excellent, I will definitely go back.","Hotel completely redone, the rooms are clean and comfortable. Like the 2 managers of the hotel and the chef, the staff is extremely kind and helpful. If I were to go back to Cyprus, I wouldn't go anywhere else.",RAS,10.0,Zohra,France,Family Suite with Balcony,14 nights,2021-08-01,Family,,hotel complet redon room clean comfort like manag hotel chef staff extrem kind help go back cypru wouldnt go anywher els,ra,positive,0.32222222222222224,0.0,8,2021
"Wonderful


Wonderful","Great, compact room and hotel. Clean and modern. 3+ stars for sure. Mackenzie Beach is 10-15 minutes on asphalt and 5-7 off-road (there is a descent at the end of the street). From the airport 7 - 10 minutes drive.",,9.0,Evgeniy,Russia,Double Room with Balcony,2 nights,2021-08-01,Solo traveler,Thank you for your detailed comments and for the nice score. Hope to have the chance to host you another time.,great compact room hotel clean modern star sure mackenzi beach minut asphalt offroad descent end street airport minut drive,,positive,0.4666666666666667,0.0,8,2021
"Perfect!


Perfect!",Perfect!,,10.0,Marek,Poland,Double Room with Balcony,1 night,2021-08-01,Solo traveler,Thank you so much for the nice score. Hope to have the chance to host you another time.,perfect,,positive,1.0,0.0,8,2021
"Good hotel


Good hotel","In general, we were satisfied, corresponds to the price, a small but clean cozy modern hotel with a small number of people",,8.0,Aleksandr,Cyprus,Standard Triple Room,1 night,2021-08-01,Family,thank you for your nice comments- we are sorry we provided you a small room.,gener satisfi correspond price small clean cozi modern hotel small number peopl,,positive,0.016666666666666677,0.0,8,2021
"Exceptional


Exceptional","New hotel, renovated, soft blankets",Small room for a family,10.0,Mikhail,Russia,Family Suite with Balcony,1 night,2021-08-01,Family,"thank you for your nice review and great score. actually we have bigger rooms for families but as all suites were fully booked, we provided you a smaller one. we are sorry for this inconvenience.",new hotel renov soft blanket,small room famili,positive,0.11818181818181818,-0.25,8,2021
"Exceptional


Exceptional",Amazing place!,,10.0,Claudio,Cyprus,Double Room with Balcony,2 nights,2021-08-01,Solo traveler,Thank you so much for the nice score and nice comment. Hope to host you again,amaz place,,positive,0.0,0.0,8,2021
"Wonderful


Wonderful","Cleanliness, proximity to the airport, walk to the sea",,9.0,Elena,Russia,Double Room with Balcony,1 night,2021-07-01,Couple,Thank you for your nice reveiw. Yes it’s around 4 min walk to reach the beach. Hope to see you another time.,cleanli proxim airport walk sea,,positive,0.0,0.0,7,2021
"Exceptional


Exceptional","Super establishment undervalued in my opinion with an available, pleasant and very professional staff. You",,10.0,Manuela,Spain,Two-Bedroom Suite,1 night,2021-07-01,Family,Thank you so much your special nice comment. Hope to see you another time,super establish undervalu opinion avail pleasant profession staff,,positive,0.5333333333333333,0.0,7,2021
"Great room, nice people


Great room, nice people",Room and possibility for late check out and very nice staff,"Swimming pool , small and dirty",8.0,Carolien,Netherlands,Two-Bedroom Suite,1 night,2021-07-01,Family,"Thank you for your nice comments- regarding the swimming pool, actually it is for private use, we are not  promoting it on booking. com site; it is for our private use and if someone like to use it , he is welcomed. We try to be as much as we can transparent  with our guests by not selling an amenity (the swimming pool) that is not certified and accessible.",room possibl late check nice staff,swim pool small dirti,positive,0.15,-0.25,7,2021
"Wonderful


Wonderful","Delicious breakfast, clean room, excellent renovation with taste, stylish and beautiful!",,9.0,Elizaveta,Cyprus,Double Room with Balcony,1 night,2021-07-01,Solo traveler,Thank you very much for your nice comments and good score; we are happy you liked the everything and the food; hope to see you another time.,delici breakfast clean room excel renov tast stylish beauti,,positive,0.43333333333333335,0.0,7,2021
"Wonderful


Wonderful",,Very nice and close to the airport,9.0,Shai,Israel,Double Room with Balcony,1 night,2021-07-01,Couple,,,nice close airport,positive,0.0,0.6,7,2021
"Wonderful


Wonderful","Great staff ... great willingness! The hotel itself was tidy and modern,",,9.0,Jan,Cyprus,Standard Triple Room,1 night,2021-07-01,Group,Thank you very much for your nice words. We were happy welcoming you. Hope to see you again.,great staff great willing hotel tidi modern,,positive,0.5125000000000001,0.0,7,2021
"Exceptional


Exceptional",Very pleasant welcome,,9.6,Alain,France,Standard Triple Room,1 night,2021-07-01,Family,Thank you very much for your comment and for the score. Hope to see you again,pleasant welcom,,positive,0.7333333333333334,0.0,7,2021
"Very Good


Very Good",Very pleasant staff. New and clean rooms.,Lack of adapters for sockets in the rooms. But the staff promised to fix it.,8.0,Алексей,Ukraine,Double Room with Balcony,1 night,2021-06-01,Group,"thank you so much for your  nice comments ;  regarding the adaptors, yes, as promised, we have now a stock at the hotel in order to fulfil our guests need.",pleasant staff new clean room,lack adapt socket room staff promis fix,positive,0.4121212121212121,0.0,6,2021
"Very Good


Very Good",The hotel staff was fantastic.,,8.0,Miguel,Spain,Double Room with Balcony,1 night,2021-07-01,Solo traveler,thank you so much for your nice comment; we are always available to serve our guests; hope to see you again.,hotel staff fantast,,positive,0.0,0.0,7,2021
"Exceptional


Exceptional","Great place, very nice staff. Close to Mackenzie beach and salt lake. 10 minutes to the airport by bus or taxi.",No trash can in the room),10.0,Yuriigr,Russia,Double Room with Balcony,1 night,2021-07-01,Solo traveler,thank you so much for your beautiful comments and for the score; we were happy welcoming you at the hotel; we will consider your comment about the trash can in the room. thank you .,great place nice staff close mackenzi beach salt lake minut airport bu taxi,trash room,positive,0.7,0.0,7,2021
